tumor_old,tumor,stroma,Tcells,Bcells,Fibroblasts,Nkcells,Macrophages,Mast cells,Dcs,Endothelial cells,CD8_Tcells
WFDC2,BRCA2,PECAM1,CCL4,BANK1,ACTA2,CCR4,AIF1,KIT,CD1C,ANGPT2,BCL6
 CD24,MUC16,COL1A2,CCL5,CD19,BGN,CD3E,ITGAM,CMA1,CD207,CCL14,CD3D
 CLDN3,CD24,DCN,IL7R,MS4A1,CAV1,NCAM1,CD14,CPA3,CLEC9A,CCL21,CD3E
 KRT7,KRT7,FGFR1,CD2,CD79A,COL1A1,B3GAT1,CD163,MS4A2,,CD24,CD69
 KRT8,CDH1,LUM,CD28,CD79B,COL1A2,CR2,CD40,TPSAB1,,PECAM1,CD8A
 KRT17,EPCAM,ACTA2,CD3D,IGHG4,COL6A1,CXCR1,CD68,TPSB2,,CD34,GATA3
KRT18,FAS,VIM,CD3E,IGKC,COL6A2,KLRC1,CD74,,,CDH1,IL13
 KRT19,WFDC2,,CD3G,IGLC2,DCN,KLRC3,CD86,,,CDH5,IL21
 EPCAM,KLF6,,CD4,IGLC3,DDR2,NCAM1,AIF1,,,CLDN4,IL4
 WT1,KLF7,,CD8A,JCHAIN,FAP,NCR1,SIRPA,,,CLDN5,KLRG1
 CLDN4,KLF8,,CTLA4,MS4A1,FBLN1,XCL2,VSIG4,,,CCN2,CD274
 MSLN,KRT18,,FOXP3,,LUM,,,,,DSP,TNF
FOLR1,MUC16,,GZMA,,PDGFRA,,,,,EGFL7,
 MUC1,PAX8,,IL2RA,,PDGFRB,,,,,EPCAM,
 PAX8,PIK3CA,,IL32,,PDPN,,,,,IFI27,
,SOX18,,NKG7,,POSTN,,,,,IGFBP7,
,WFDC2,,TRAC,,,,,,,KRT18,
,WT1,,,,,,,,,KRT19,
,,,,,,,,,,MGP,
,,,,,,,,,,NNMT,
,,,,,,,,,,OCLN,
,,,,,,,,,,PECAM1,
,,,,,,,,,,RGS5,
,,,,,,,,,,SOCS3,
,,,,,,,,,,SPARCL1,
,,,,,,,,,,TFF3,
,,,,,,,,,,TM4SF1,
,,,,,,,,,,TXNIP,
,,,,,,,,,,VWF,
